system_version,income_code,income_label,age_group,monthly_limit,monthly_limit_after_many,annual_limit,outpatient_limit_70plus,is_non_tax,is_outpatient_special_70plus

# R7 (cleaned)
R7,A,"区分ア（年収約1,160万円以上）",under70,252600,140100,,,,
R7,I,"区分イ（年収約770万円～1,160万円）",under70,167400,93000,,,,
R7,U,"区分ウ（年収約370万円～770万円）",under70,80100,44400,,,,
R7,E,"区分エ（～年収約370万円）",under70,57600,44400,,,,
R7,O,"区分オ（住民税非課税者）",under70,35400,24600,,,,

R7,A,"現役並みⅢ（年収約1,160万円以上）",over70,252600,140100,,18000,,
R7,I,"現役並みⅡ（年収約770万円～1,160万円）",over70,167400,93000,,18000,,
R7,U,"現役並みⅠ（年収約370万円～770万円）",over70,80100,44400,,18000,,
R7,E,"一般（年収156万～約370万円）",over70,57600,44400,,18000,,
R7,LI2,"低所得者Ⅱ（住民税非課税世帯）",over70,8000,8000,,15000,True,True
R7,LI1,"低所得者Ⅰ（住民税非課税世帯・低所得）",over70,8000,8000,,8000,True,True

# R8 (cleaned)
R8,A,"区分ア（年収約1,160万円以上）",under70,270300,140100,,,,
R8,I,"区分イ（年収約770万円～1,160万円）",under70,179100,93000,,,,
R8,U,"区分ウ（年収約370万円～770万円）",under70,85180,44400,,,,
R8,E,"区分エ（～年収約370万円）",under70,61500,44400,,,,
R8,O,"区分オ（住民税非課税者）",under70,36900,24600,,,,

R8,A,"現役並みⅢ（年収約1,160万円以上）",over70,270300,140100,,18000,,
R8,I,"現役並みⅡ（年収約770万円～1,160万円）",over70,179100,93000,,18000,,
R8,U,"現役並みⅠ（年収約370万円～770万円）",over70,85800,44400,,18000,,
R8,E,"一般（年収156万～約370万円）",over70,61500,44400,,18000,,
R8,LI2,"低所得者Ⅱ（住民税非課税世帯）",over70,11000,11000,,15000,True,True
R8,LI1,"低所得者Ⅰ（住民税非課税世帯・低所得）",over70,8000,8000,,8000,True,True

# R9 (kept as-is)
R9,R9_1650_PLUS,"約1,650万円以上",under70,342000,140100,1680000,,,,
R9,R9_1410_1650,"約1,410〜1,650万円",under70,303000,140100,1680000,,,,
R9,R9_1160_1410,"約1,160〜1,410万円",under70,270300,140100,,,,
R9,R9_1040_1160,"約1,040〜1,160万円",under70,209400,93000,,,,
R9,R9_950_1040,"約950〜1,040万円",under70,194400,93000,1110000,,,,
R9,R9_770_950,"約770〜950万円",under70,179100,93000,1110000,,,,
R9,R9_650_770,"約650〜770万円",under70,110400,44400,,,,
R9,R9_510_650,"約510〜650万円",under70,98100,44400,530000,,,,
R9,R9_370_510,"約370〜510万円",under70,85800,44400,530000,,,,
R9,R9_260_370,"約260〜370万円",under70,69600,44400,,,,
R9,R9_200_260,"約200〜260万円",under70,65400,44400,530000,,,,
R9,R9_UNDER_200,"約200万円以下",under70,61500,34500,410000,,,,
R9,R9_EXEMPT_UNDER70,"非課税（70歳未満）",under70,36900,24600,290000,,True,

R9,R9_EXEMPT_OVER70,"非課税（70歳以上）",over70,25700,24600,290000,13000,True,True
R9,R9_LOW_INCOME_OVER70,"一定所得以下（70歳以上）",over70,15700,15000,180000,8000,True,True
R9,R9_1650_PLUS,"約1,650万円以上",over70,342000,140100,1680000,,,,
R9,R9_1410_1650,"約1,410〜1,650万円",over70,303000,140100,1680000,,,,
R9,R9_1160_1410,"約1,160〜1,410万円",over70,270300,140100,,,,
R9,R9_1040_1160,"約1,040〜1,160万円",over70,209400,93000,,,,
R9,R9_950_1040,"約950〜1,040万円",over70,194400,93000,1110000,,,,
R9,R9_770_950,"約770〜950万円",over70,179100,93000,1110000,,,,
R9,R9_650_770,"約650〜770万円",over70,110400,44400,,,,
R9,R9_510_650,"約510〜650万円",over70,98100,44400,530000,,,,
R9,R9_370_510,"約370〜510万円",over70,85800,44400,530000,,,,
R9,R9_260_370,"約260〜370万円",over70,69600,44400,,28000,True,
R9,R9_200_260,"約200〜260万円",over70,65400,44400,530000,28000,True,
R9,R9_UNDER_200,"約200万円以下",over70,61500,34500,410000,22000,True
