canonical_key,drug_id,drug_name_canonical,status,notes
モンテルカスト,MONTE_5,モンテルカスト,provisional,NAME_ONLY_MATCH_FOR_PRICE
モンテルカスト,MONTE_10,モンテルカスト,provisional,NAME_ONLY_MATCH_FOR_PRICE
プランルカスト,PRANL_225,プランルカスト,provisional,NAME_ONLY_MATCH_FOR_PRICE
テオフィリン徐放U錠,THEO_XU_100,テオフィリン徐放U錠,provisional,NAME_ONLY_MATCH_FOR_PRICE
テオフィリン徐放U錠,THEO_XU_200,テオフィリン徐放U錠,provisional,NAME_ONLY_MATCH_FOR_PRICE
テオフィリン徐放U錠,THEO_XU_400,テオフィリン徐放U錠,provisional,NAME_ONLY_MATCH_FOR_PRICE
アドエアディスカス,ADAIR_500,アドエアディスカス,provisional,NAME_ONLY_MATCH_FOR_PRICE
アドエアディスカス,ADAIR_250,アドエアディスカス,provisional,NAME_ONLY_MATCH_FOR_PRICE
レルベア,RELVAR_200,レルベア,provisional,NAME_ONLY_MATCH_FOR_PRICE
レルベア,RELVAR_100,レルベア,provisional,NAME_ONLY_MATCH_FOR_PRICE
テリルジー,TERLIGY_200,テリルジー,provisional,NAME_ONLY_MATCH_FOR_PRICE
テリルジー,TERLIGY_100,テリルジー,provisional,NAME_ONLY_MATCH_FOR_PRICE
エナジア,ENAGIA_HI,エナジア,provisional,NAME_ONLY_MATCH_FOR_PRICE
エナジア,ENAGIA_MED,エナジア,provisional,NAME_ONLY_MATCH_FOR_PRICE
アテキュラ,ATECULA_HI,アテキュラ,provisional,NAME_ONLY_MATCH_FOR_PRICE
アテキュラ,ATECULA_MED,アテキュラ,provisional,NAME_ONLY_MATCH_FOR_PRICE
フルティフォーム,FLUTIFORM_125,フルティフォーム,provisional,NAME_ONLY_MATCH_FOR_PRICE
フルティフォーム,FLUTIFORM_50,フルティフォーム,provisional,NAME_ONLY_MATCH_FOR_PRICE
ブデホル,BUDEHOL,ブデホル,provisional,NAME_ONLY_MATCH_FOR_PRICE
